Ac-No,Name,sTime,Verify Mod,Machine,Exception
5,5,6/29/2018 12:24,Fingerpint,1,
6,6,6/28/2018 8:44,Fingerpint,1,
6,6,6/28/2018 17:17,Fingerpint,1,
6,6,6/28/2018 17:57,Fingerpint,1,
6,6,6/28/2018 19:08,Fingerpint,1,
16,16,6/28/2018 17:01,Fingerpint,1,
16,16,6/29/2018 8:32,Fingerpint,1,
24,24,6/28/2018 16:25,Fingerpint,1,
24,24,6/28/2018 18:05,Fingerpint,1,
24,24,6/29/2018 7:52,Fingerpint,1,
24,24,6/29/2018 18:21,Fingerpint,1,
25,25,6/28/2018 8:09,Fingerpint,1,13183023
25,25,6/28/2018 17:17,Fingerpint,1,13183023
25,25,6/29/2018 8:08,Fingerpint,1,13183023
25,25,6/29/2018 17:34,Fingerpint,1,13183023
30,30,6/28/2018 8:09,Fingerpint,1,
30,30,6/28/2018 17:52,Fingerpint,1,
30,30,6/29/2018 8:12,Fingerpint,1,
30,30,6/29/2018 17:34,Fingerpint,1,
33,33,6/28/2018 8:13,Fingerpint,1,
33,33,6/28/2018 18:24,Fingerpint,1,
34,34,6/28/2018 8:31,Fingerpint,1,
34,34,6/28/2018 17:53,Fingerpint,1,
36,36,6/28/2018 17:57,Fingerpint,1,
37,37,6/29/2018 17:08,Fingerpint,1,
41,41,6/28/2018 7:54,Fingerpint,1,
41,41,6/28/2018 19:06,Fingerpint,1,
41,41,6/29/2018 8:10,Fingerpint,1,
41,41,6/29/2018 18:22,Fingerpint,1,
48,48,6/29/2018 18:21,Fingerpint,1,
49,49,6/28/2018 8:13,Fingerpint,1,
49,49,6/28/2018 17:17,Fingerpint,1,
49,49,6/29/2018 8:11,Fingerpint,1,
49,49,6/29/2018 17:43,Fingerpint,1,
58,58,6/28/2018 8:10,Fingerpint,1,
