Ac-No,Name,sTime,Verify Mod,Machine,Exception
5,5,10/5/2018 11:21,Fingerpint,1,
6,6,9/21/2018 8:14,Fingerpint,1,
6,6,9/22/2018 8:22,Fingerpint,1,
6,6,9/25/2018 8:39,Fingerpint,1,
6,6,9/27/2018 8:19,Fingerpint,1,
6,6,9/29/2018 8:30,Fingerpint,1,
6,6,10/1/2018 7:48,Fingerpint,1,
6,6,10/1/2018 17:52,Fingerpint,1,
6,6,10/2/2018 8:36,Fingerpint,1,
6,6,10/3/2018 8:00,Fingerpint,1,
6,6,10/4/2018 8:17,Fingerpint,1,
6,6,10/5/2018 8:12,Fingerpint,1,
6,6,10/6/2018 8:42,Fingerpint,1,
6,6,10/8/2018 8:20,Fingerpint,1,
6,6,10/9/2018 8:29,Fingerpint,1,
6,6,10/11/2018 8:24,Fingerpint,1,
6,6,10/12/2018 8:01,Fingerpint,1,
6,6,10/15/2018 8:15,Fingerpint,1,
6,6,10/15/2018 18:00,Fingerpint,1,
6,6,10/17/2018 8:34,Fingerpint,1,
6,6,10/18/2018 8:14,Fingerpint,1,
6,6,10/19/2018 8:23,Fingerpint,1,
7,7,9/22/2018 8:44,Fingerpint,1,
7,7,9/25/2018 8:41,Fingerpint,1,
7,7,9/26/2018 8:11,Fingerpint,1,
7,7,9/27/2018 8:27,Fingerpint,1,
7,7,10/1/2018 8:42,Fingerpint,1,
7,7,10/2/2018 8:35,Fingerpint,1,
7,7,10/3/2018 8:07,Fingerpint,1,
7,7,10/4/2018 8:40,Fingerpint,1,
7,7,10/5/2018 8:32,Fingerpint,1,
7,7,10/6/2018 8:56,Fingerpint,1,
7,7,10/10/2018 8:34,Fingerpint,1,
7,7,10/11/2018 8:34,Fingerpint,1,
7,7,10/12/2018 8:26,Fingerpint,1,
7,7,10/13/2018 8:32,Fingerpint,1,
7,7,10/15/2018 8:43,Fingerpint,1,
7,7,10/16/2018 8:42,Fingerpint,1,
7,7,10/18/2018 8:39,Fingerpint,1,
7,7,10/19/2018 8:31,Fingerpint,1,
7,7,10/20/2018 8:33,Fingerpint,1,
9,9,9/25/2018 8:16,Fingerpint,1,
9,9,10/3/2018 8:02,Fingerpint,1,
9,9,10/8/2018 8:29,Fingerpint,1,
9,9,10/15/2018 8:31,Fingerpint,1,
13,13,9/21/2018 8:32,Fingerpint,1,
13,13,9/22/2018 8:28,Fingerpint,1,
13,13,9/25/2018 7:19,Fingerpint,1,
13,13,9/27/2018 8:36,Fingerpint,1,
13,13,9/29/2018 8:32,Fingerpint,1,
13,13,10/1/2018 8:40,Fingerpint,1,
13,13,10/3/2018 7:54,Fingerpint,1,
13,13,10/5/2018 8:38,Fingerpint,1,
13,13,10/6/2018 8:31,Fingerpint,1,
13,13,10/10/2018 8:36,Fingerpint,1,
13,13,10/11/2018 8:35,Fingerpint,1,
13,13,10/12/2018 8:26,Fingerpint,1,
13,13,10/17/2018 8:34,Fingerpint,1,
13,13,10/18/2018 8:31,Fingerpint,1,
13,13,10/19/2018 8:14,Fingerpint,1,
14,14,9/22/2018 8:29,Fingerpint,1,
14,14,9/25/2018 8:36,Fingerpint,1,
14,14,10/3/2018 7:59,Fingerpint,1,
14,14,10/11/2018 8:40,Fingerpint,1,
14,14,10/18/2018 8:20,Fingerpint,1,
16,16,9/21/2018 8:26,Fingerpint,1,
16,16,9/22/2018 8:26,Fingerpint,1,
16,16,9/25/2018 8:14,Fingerpint,1,
16,16,9/26/2018 8:28,Fingerpint,1,
16,16,9/27/2018 8:28,Fingerpint,1,
16,16,9/29/2018 8:29,Fingerpint,1,
16,16,10/1/2018 8:32,Fingerpint,1,
16,16,10/2/2018 8:09,Fingerpint,1,
16,16,10/3/2018 7:54,Fingerpint,1,
16,16,10/4/2018 8:43,Fingerpint,1,
16,16,10/5/2018 8:37,Fingerpint,1,
16,16,10/6/2018 8:24,Fingerpint,1,
16,16,10/8/2018 8:30,Fingerpint,1,
16,16,10/9/2018 8:42,Fingerpint,1,
16,16,10/10/2018 8:30,Fingerpint,1,
16,16,10/11/2018 8:37,Fingerpint,1,
16,16,10/12/2018 8:23,Fingerpint,1,
16,16,10/13/2018 8:30,Fingerpint,1,
17,17,10/9/2018 7:31,Fingerpint,1,
24,24,9/21/2018 8:02,Fingerpint,1,
24,24,9/21/2018 18:30,Fingerpint,1,
24,24,9/22/2018 13:26,Fingerpint,1,
24,24,9/25/2018 8:09,Fingerpint,1,
24,24,9/25/2018 17:58,Fingerpint,1,
24,24,9/26/2018 8:43,Fingerpint,1,
24,24,9/26/2018 17:53,Fingerpint,1,
24,24,9/27/2018 7:56,Fingerpint,1,
24,24,9/28/2018 18:44,Fingerpint,1,
24,24,9/29/2018 7:59,Fingerpint,1,
24,24,9/29/2018 15:45,Fingerpint,1,
24,24,10/1/2018 8:12,Fingerpint,1,
24,24,10/1/2018 18:38,Fingerpint,1,
24,24,10/3/2018 8:00,Fingerpint,1,
24,24,10/3/2018 18:57,Fingerpint,1,
24,24,10/4/2018 8:09,Fingerpint,1,
24,24,10/4/2018 18:14,Fingerpint,1,
24,24,10/5/2018 8:12,Fingerpint,1,
24,24,10/5/2018 17:40,Fingerpint,1,
24,24,10/6/2018 8:19,Fingerpint,1,
24,24,10/6/2018 13:44,Fingerpint,1,
24,24,10/8/2018 8:08,Fingerpint,1,
24,24,10/8/2018 18:11,Fingerpint,1,
24,24,10/9/2018 8:11,Fingerpint,1,
24,24,10/9/2018 17:45,Fingerpint,1,
24,24,10/10/2018 18:04,Fingerpint,1,
24,24,10/11/2018 8:29,Fingerpint,1,
24,24,10/11/2018 17:48,Fingerpint,1,
24,24,10/12/2018 8:16,Fingerpint,1,
24,24,10/12/2018 17:49,Fingerpint,1,
24,24,10/13/2018 8:11,Fingerpint,1,
