Ac-No,Name,sTime,Verify Mod,Machine,Exception
29,29,12/07/2018 7:56,Fingerpint,2,70109
61,61,12/07/2018 8:21,Fingerpint,2,
9,9,12/07/2018 8:39,Fingerpint,2,
60,60,12/07/2018 15:41,Fingerpint,2,
29,29,12/07/2018 17:22,Fingerpint,2,70109
61,61,12/07/2018 17:22,Fingerpint,2,
61,61,12/08/2018 8:21,Fingerpint,2,
29,29,12/08/2018 8:24,Fingerpint,2,70109
40,40,12/08/2018 8:44,Fingerpint,2,
61,61,12/08/2018 13:02,Fingerpint,2,
29,29,12/08/2018 13:08,Fingerpint,2,70109
40,40,12/08/2018 13:08,Fingerpint,2,
40,40,12/10/2018 8:08,Fingerpint,2,
29,29,12/10/2018 8:09,Fingerpint,2,70109
61,61,12/10/2018 8:18,Fingerpint,2,
9,9,12/10/2018 8:24,Fingerpint,2,
60,60,12/10/2018 8:33,Fingerpint,2,
40,40,12/10/2018 16:35,Fingerpint,2,
60,60,12/10/2018 17:13,Fingerpint,2,
61,61,12/10/2018 17:17,Fingerpint,2,
9,9,12/10/2018 17:35,Fingerpint,2,
29,29,12/10/2018 17:35,Fingerpint,2,70109
29,29,12/11/2018 7:51,Fingerpint,2,70109
40,40,12/11/2018 8:03,Fingerpint,2,
9,9,12/11/2018 8:14,Fingerpint,2,
60,60,12/11/2018 8:22,Fingerpint,2,
61,61,12/11/2018 8:37,Fingerpint,2,
40,40,12/11/2018 16:39,Fingerpint,2,
9,9,12/11/2018 17:00,Fingerpint,2,
60,60,12/11/2018 17:00,Fingerpint,2,
61,61,12/11/2018 17:02,Fingerpint,2,
29,29,12/11/2018 17:04,Fingerpint,2,70109
29,29,12/12/2018 7:55,Fingerpint,2,70109
40,40,12/12/2018 8:08,Fingerpint,2,
61,61,12/12/2018 8:08,Fingerpint,2,
9,9,12/12/2018 8:13,Fingerpint,2,
60,60,12/12/2018 8:25,Fingerpint,2,
40,40,12/12/2018 16:39,Fingerpint,2,
9,9,12/12/2018 17:00,Fingerpint,2,
61,61,12/12/2018 17:00,Fingerpint,2,
29,29,12/12/2018 17:01,Fingerpint,2,70109
60,60,12/12/2018 17:01,Fingerpint,2,
29,29,12/13/2018 07:57,Fingerpint,2,70109
40,40,12/13/2018 08:05,Fingerpint,2,
61,61,12/13/2018 08:19,Fingerpint,2,
9,9,12/13/2018 08:30,Fingerpint,2,
60,60,12/13/2018 08:32,Fingerpint,2,
40,40,12/13/2018 16:41,Fingerpint,2,
60,60,12/13/2018 17:05,Fingerpint,2,
9,9,12/13/2018 17:08,Fingerpint,2,
61,61,12/13/2018 17:09,Fingerpint,2,
29,29,12/13/2018 17:10,Fingerpint,2,70109
