Ac-No,Name,sTime,Verify Mod,Machine,Exception
6,6,11/21/2018 08:18,Fingerpint,1,
6,6,11/21/2018 17:43,Fingerpint,1,
6,6,11/23/2018 08:28,Fingerpint,1,
6,6,11/26/2018 08:16,Fingerpint,1,
6,6,11/26/2018 19:17,Fingerpint,1,
6,6,11/27/2018 08:21,Fingerpint,1,
6,6,11/28/2018 09:04,Fingerpint,1,
6,6,11/28/2018 18:30,Fingerpint,1,
7,7,11/26/2018 08:18,Fingerpint,1,
7,7,11/28/2018 08:25,Fingerpint,1,
13,13,11/24/2018 08:18,Fingerpint,1,
13,13,11/27/2018 08:30,Fingerpint,1,
24,24,11/21/2018 08:09,Fingerpint,1,
24,24,11/21/2018 18:27,Fingerpint,1,
24,24,11/23/2018 08:02,Fingerpint,1,
24,24,11/23/2018 18:23,Fingerpint,1,
24,24,11/24/2018 08:31,Fingerpint,1,
24,24,11/24/2018 11:13,Fingerpint,1,
24,24,11/24/2018 14:35,Fingerpint,1,
24,24,11/24/2018 14:42,Fingerpint,1,
24,24,11/26/2018 08:23,Fingerpint,1,
24,24,11/26/2018 19:17,Fingerpint,1,
24,24,11/27/2018 08:21,Fingerpint,1,
24,24,11/27/2018 18:21,Fingerpint,1,
24,24,11/28/2018 08:18,Fingerpint,1,
24,24,11/28/2018 18:38,Fingerpint,1,
25,25,11/21/2018 08:34,Fingerpint,1,13183023
25,25,11/21/2018 17:50,Fingerpint,1,13183023
25,25,11/23/2018 08:18,Fingerpint,1,13183023
25,25,11/23/2018 17:23,Fingerpint,1,13183023
25,25,11/24/2018 08:20,Fingerpint,1,13183023
25,25,11/24/2018 13:10,Fingerpint,1,13183023
25,25,11/26/2018 08:23,Fingerpint,1,13183023
25,25,11/26/2018 17:49,Fingerpint,1,13183023
25,25,11/27/2018 08:32,Fingerpint,1,13183023
25,25,11/27/2018 18:16,Fingerpint,1,13183023
25,25,11/28/2018 10:26,Fingerpint,1,13183023
25,25,11/28/2018 17:57,Fingerpint,1,13183023
27,27,11/21/2018 08:31,Fingerpint,1,
27,27,11/21/2018 17:07,Fingerpint,1,
27,27,11/23/2018 08:21,Fingerpint,1,
27,27,11/23/2018 17:03,Fingerpint,1,
27,27,11/24/2018 08:18,Fingerpint,1,
27,27,11/24/2018 13:13,Fingerpint,1,
27,27,11/26/2018 08:18,Fingerpint,1,
27,27,11/27/2018 08:27,Fingerpint,1,
27,27,11/27/2018 17:33,Fingerpint,1,
27,27,11/28/2018 08:43,Fingerpint,1,
27,27,11/28/2018 17:29,Fingerpint,1,
28,28,11/21/2018 08:06,Fingerpint,1,
28,28,11/21/2018 17:43,Fingerpint,1,
28,28,11/23/2018 08:13,Fingerpint,1,
28,28,11/23/2018 17:33,Fingerpint,1,
28,28,11/24/2018 07:53,Fingerpint,1,
28,28,11/24/2018 13:53,Fingerpint,1,
28,28,11/26/2018 08:19,Fingerpint,1,
28,28,11/26/2018 17:56,Fingerpint,1,
28,28,11/27/2018 08:10,Fingerpint,1,
28,28,11/27/2018 17:57,Fingerpint,1,
28,28,11/28/2018 08:06,Fingerpint,1,
28,28,11/28/2018 17:46,Fingerpint,1,
30,30,11/21/2018 08:10,Fingerpint,1,
