Ac-No,Name,sTime,Verify Mod,Machine,Exception
6,6,11/21/2018 08:18,Fingerpint,1,
6,6,11/21/2018 17:43,Fingerpint,1,
6,6,11/23/2018 08:28,Fingerpint,1,
6,6,11/26/2018 08:16,Fingerpint,1,
6,6,11/26/2018 19:17,Fingerpint,1,
6,6,11/27/2018 08:21,Fingerpint,1,
6,6,11/28/2018 09:04,Fingerpint,1,
6,6,11/28/2018 18:30,Fingerpint,1,
6,6,11/29/2018 08:14,Fingerpint,1,
6,6,11/30/2018 08:16,Fingerpint,1,
6,6,11/30/2018 18:51,Fingerpint,1,
6,6,11/30/2018 19:21,Fingerpint,1,
6,6,12/01/2018 8:32,Fingerpint,1,
6,6,12/04/2018 8:17,Fingerpint,1,
6,6,12/05/2018 8:13,Fingerpint,1,
6,6,12/06/2018 8:17,Fingerpint,1,
6,6,12/07/2018 8:21,Fingerpint,1,
6,6,12/18/2018 08:28,Fingerpint,1,
6,6,12/19/2018 08:34,Fingerpint,1,
6,6,12/20/2018 08:17,Fingerpint,1,
6,6,12/20/2018 17:44,Fingerpint,1,
7,7,11/26/2018 08:18,Fingerpint,1,
7,7,11/28/2018 08:25,Fingerpint,1,
7,7,11/29/2018 08:21,Fingerpint,1,
7,7,11/30/2018 08:21,Fingerpint,1,
7,7,12/01/2018 8:34,Fingerpint,1,
7,7,12/03/2018 8:25,Fingerpint,1,
7,7,12/04/2018 8:33,Fingerpint,1,
7,7,12/05/2018 8:31,Fingerpint,1,
7,7,12/07/2018 8:33,Fingerpint,1,
13,13,11/24/2018 08:18,Fingerpint,1,
13,13,11/27/2018 08:30,Fingerpint,1,
13,13,11/29/2018 08:33,Fingerpint,1,
13,13,11/30/2018 08:20,Fingerpint,1,
13,13,12/01/2018 8:14,Fingerpint,1,
13,13,12/05/2018 8:11,Fingerpint,1,
13,13,12/06/2018 8:30,Fingerpint,1,
13,13,12/08/2018 8:26,Fingerpint,1,
13,13,12/11/2018 8:23,Fingerpint,1,
13,13,12/12/2018 8:25,Fingerpint,1,
13,13,12/13/2018 08:20,Fingerpint,1,
13,13,12/14/2018 08:32,Fingerpint,1,
13,13,12/17/2018 08:23,Fingerpint,1,
13,13,12/18/2018 08:30,Fingerpint,1,
13,13,12/20/2018 08:20,Fingerpint,1,
15,15,12/03/2018 18:48,Fingerpint,1,
24,24,11/21/2018 08:09,Fingerpint,1,
24,24,11/21/2018 18:27,Fingerpint,1,
24,24,11/23/2018 08:02,Fingerpint,1,
24,24,11/23/2018 18:23,Fingerpint,1,
24,24,11/24/2018 08:31,Fingerpint,1,
24,24,11/24/2018 11:13,Fingerpint,1,
24,24,11/24/2018 14:35,Fingerpint,1,
24,24,11/24/2018 14:42,Fingerpint,1,
24,24,11/26/2018 08:23,Fingerpint,1,
24,24,11/26/2018 19:17,Fingerpint,1,
24,24,11/27/2018 08:21,Fingerpint,1,
24,24,11/27/2018 18:21,Fingerpint,1,
24,24,11/28/2018 08:18,Fingerpint,1,
24,24,11/28/2018 18:38,Fingerpint,1,
24,24,11/29/2018 08:20,Fingerpint,1,
24,24,11/29/2018 18:46,Fingerpint,1,
24,24,12/01/2018 8:01,Fingerpint,1,
