Ac-No,Name,sTime,Verify Mod,Machine,Exception
6,6,09/02/2018 14:45,Fingerpint,2,
6,6,09/02/2018 14:45,Fingerpint,2,
19,19,09/07/2018 17:34,Fingerpint,2,
29,29,08/21/2018 07:54,Fingerpint,2,70109
29,29,08/21/2018 17:18,Fingerpint,2,70109
29,29,08/22/2018 08:39,Fingerpint,2,70109
29,29,08/22/2018 17:29,Fingerpint,2,70109
29,29,08/23/2018 07:54,Fingerpint,2,70109
29,29,08/23/2018 17:08,Fingerpint,2,70109
29,29,08/24/2018 08:00,Fingerpint,2,70109
29,29,08/24/2018 16:23,Fingerpint,2,70109
29,29,08/27/2018 09:23,Fingerpint,2,70109
29,29,08/27/2018 10:16,Fingerpint,2,70109
29,29,08/27/2018 10:16,Fingerpint,2,70109
29,29,08/27/2018 17:11,Fingerpint,2,70109
29,29,08/28/2018 08:37,Fingerpint,2,70109
29,29,08/28/2018 17:16,Fingerpint,2,70109
29,29,08/29/2018 08:45,Fingerpint,2,70109
29,29,08/30/2018 08:04,Fingerpint,2,70109
29,29,08/30/2018 17:16,Fingerpint,2,70109
29,29,08/31/2018 07:28,Fingerpint,2,70109
29,29,08/31/2018 17:57,Fingerpint,2,70109
29,29,09/01/2018 8:05,Fingerpint,2,70109
29,29,09/01/2018 13:59,Fingerpint,2,70109
29,29,09/02/2018 12:01,Fingerpint,2,70109
29,29,09/03/2018 7:53,Fingerpint,2,70109
29,29,09/03/2018 17:49,Fingerpint,2,70109
29,29,09/04/2018 7:55,Fingerpint,2,70109
29,29,09/04/2018 17:51,Fingerpint,2,70109
29,29,09/05/2018 8:00,Fingerpint,2,70109
29,29,09/05/2018 17:18,Fingerpint,2,70109
29,29,09/06/2018 7:53,Fingerpint,2,70109
29,29,09/06/2018 17:06,Fingerpint,2,70109
29,29,09/07/2018 7:51,Fingerpint,2,70109
29,29,09/07/2018 17:34,Fingerpint,2,70109
29,29,09/08/2018 7:39,Fingerpint,2,70109
29,29,09/08/2018 13:45,Fingerpint,2,70109
29,29,09/10/2018 7:53,Fingerpint,2,70109
29,29,09/10/2018 17:14,Fingerpint,2,70109
29,29,09/11/2018 7:50,Fingerpint,2,70109
29,29,09/11/2018 15:36,Fingerpint,2,70109
29,29,09/12/2018 7:59,Fingerpint,2,70109
29,29,09/12/2018 17:11,Fingerpint,2,70109
29,29,09/13/2018 07:51,Fingerpint,2,70109
29,29,09/13/2018 17:27,Fingerpint,2,70109
29,29,09/14/2018 07:39,Fingerpint,2,70109
29,29,09/14/2018 17:21,Fingerpint,2,70109
29,29,09/15/2018 07:47,Fingerpint,2,70109
29,29,09/15/2018 14:06,Fingerpint,2,70109
29,29,09/16/2018 09:45,Fingerpint,2,70109
29,29,09/16/2018 13:12,Fingerpint,2,70109
29,29,09/17/2018 08:05,Fingerpint,2,70109
29,29,09/17/2018 17:26,Fingerpint,2,70109
29,29,09/18/2018 07:44,Fingerpint,2,70109
29,29,09/18/2018 17:34,Fingerpint,2,70109
29,29,09/19/2018 07:47,Fingerpint,2,70109
29,29,09/19/2018 17:37,Fingerpint,2,70109
29,29,09/20/2018 07:56,Fingerpint,2,70109
29,29,09/20/2018 17:10,Fingerpint,2,70109
40,40,08/21/2018 08:08,Fingerpint,2,
40,40,08/21/2018 16:38,Fingerpint,2,
40,40,08/22/2018 07:53,Fingerpint,2,
40,40,08/22/2018 17:06,Fingerpint,2,
40,40,08/23/2018 08:08,Fingerpint,2,
40,40,08/23/2018 16:33,Fingerpint,2,
40,40,08/24/2018 08:06,Fingerpint,2,
40,40,08/24/2018 16:36,Fingerpint,2,
40,40,08/27/2018 08:10,Fingerpint,2,
40,40,08/27/2018 16:35,Fingerpint,2,
40,40,08/28/2018 08:06,Fingerpint,2,
40,40,08/28/2018 16:37,Fingerpint,2,
40,40,08/29/2018 08:02,Fingerpint,2,
40,40,08/30/2018 08:08,Fingerpint,2,
40,40,08/30/2018 16:36,Fingerpint,2,
40,40,08/31/2018 08:12,Fingerpint,2,
40,40,08/31/2018 16:37,Fingerpint,2,
40,40,09/01/2018 8:00,Fingerpint,2,
40,40,09/01/2018 13:46,Fingerpint,2,
40,40,09/03/2018 8:11,Fingerpint,2,
40,40,09/03/2018 16:35,Fingerpint,2,
40,40,09/04/2018 8:13,Fingerpint,2,
40,40,09/04/2018 16:33,Fingerpint,2,
40,40,09/05/2018 8:11,Fingerpint,2,
40,40,09/05/2018 16:31,Fingerpint,2,
40,40,09/06/2018 8:13,Fingerpint,2,
40,40,09/06/2018 16:30,Fingerpint,2,
40,40,09/07/2018 8:17,Fingerpint,2,
40,40,09/07/2018 16:33,Fingerpint,2,
40,40,09/10/2018 8:11,Fingerpint,2,
40,40,09/10/2018 16:36,Fingerpint,2,
40,40,09/11/2018 8:12,Fingerpint,2,
40,40,09/11/2018 16:35,Fingerpint,2,
40,40,09/12/2018 8:11,Fingerpint,2,
40,40,09/12/2018 16:36,Fingerpint,2,
40,40,09/13/2018 08:15,Fingerpint,2,
40,40,09/13/2018 16:34,Fingerpint,2,
40,40,09/14/2018 08:15,Fingerpint,2,
40,40,09/14/2018 16:33,Fingerpint,2,
40,40,09/15/2018 08:19,Fingerpint,2,
40,40,09/15/2018 13:36,Fingerpint,2,
40,40,09/17/2018 08:15,Fingerpint,2,
40,40,09/17/2018 16:36,Fingerpint,2,
40,40,09/18/2018 08:18,Fingerpint,2,
40,40,09/18/2018 16:34,Fingerpint,2,
40,40,09/19/2018 08:15,Fingerpint,2,
40,40,09/19/2018 16:36,Fingerpint,2,
40,40,09/20/2018 08:10,Fingerpint,2,
40,40,09/20/2018 16:29,Fingerpint,2,
46,46,08/21/2018 17:04,Fingerpint,2,
60,60,08/27/2018 10:17,Fingerpint,2,
60,60,08/27/2018 17:06,Fingerpint,2,
60,60,08/28/2018 08:18,Fingerpint,2,
60,60,08/28/2018 17:30,Fingerpint,2,
60,60,08/28/2018 17:31,Fingerpint,2,
60,60,08/29/2018 08:20,Fingerpint,2,
60,60,08/31/2018 08:19,Fingerpint,2,
60,60,08/31/2018 17:20,Fingerpint,2,
60,60,09/04/2018 8:25,Fingerpint,2,
60,60,09/04/2018 17:50,Fingerpint,2,
60,60,09/05/2018 8:25,Fingerpint,2,
60,60,09/05/2018 17:15,Fingerpint,2,
60,60,09/10/2018 8:31,Fingerpint,2,
60,60,09/10/2018 17:15,Fingerpint,2,
60,60,09/11/2018 8:01,Fingerpint,2,
60,60,09/11/2018 17:13,Fingerpint,2,
60,60,09/12/2018 8:25,Fingerpint,2,
60,60,09/12/2018 17:00,Fingerpint,2,
60,60,09/13/2018 08:29,Fingerpint,2,
60,60,09/13/2018 17:21,Fingerpint,2,
60,60,09/14/2018 08:18,Fingerpint,2,
60,60,09/14/2018 17:09,Fingerpint,2,
60,60,09/17/2018 08:30,Fingerpint,2,
60,60,09/17/2018 17:26,Fingerpint,2,
60,60,09/18/2018 08:22,Fingerpint,2,
60,60,09/18/2018 17:34,Fingerpint,2,
60,60,09/19/2018 08:14,Fingerpint,2,
60,60,09/19/2018 17:25,Fingerpint,2,
60,60,09/20/2018 08:22,Fingerpint,2,
60,60,09/20/2018 17:10,Fingerpint,2,
61,61,09/04/2018 15:06,Fingerpint,2,
61,61,09/04/2018 17:38,Fingerpint,2,
61,61,09/05/2018 8:22,Fingerpint,2,
61,61,09/05/2018 17:18,Fingerpint,2,
61,61,09/06/2018 8:26,Fingerpint,2,
61,61,09/06/2018 17:06,Fingerpint,2,
61,61,09/07/2018 8:19,Fingerpint,2,
61,61,09/07/2018 17:34,Fingerpint,2,
61,61,09/10/2018 8:19,Fingerpint,2,
61,61,09/10/2018 17:15,Fingerpint,2,
61,61,09/11/2018 8:18,Fingerpint,2,
61,61,09/11/2018 17:12,Fingerpint,2,
61,61,09/12/2018 8:18,Fingerpint,2,
61,61,09/12/2018 17:11,Fingerpint,2,
61,61,09/13/2018 08:14,Fingerpint,2,
61,61,09/13/2018 17:21,Fingerpint,2,
61,61,09/14/2018 08:16,Fingerpint,2,
61,61,09/14/2018 17:17,Fingerpint,2,
61,61,09/15/2018 08:11,Fingerpint,2,
61,61,09/15/2018 14:05,Fingerpint,2,
61,61,09/17/2018 08:20,Fingerpint,2,
61,61,09/17/2018 17:26,Fingerpint,2,
61,61,09/18/2018 08:27,Fingerpint,2,
61,61,09/18/2018 17:26,Fingerpint,2,
61,61,09/19/2018 08:11,Fingerpint,2,
61,61,09/19/2018 17:23,Fingerpint,2,
61,61,09/20/2018 08:08,Fingerpint,2,
61,61,09/20/2018 17:10,Fingerpint,2,
